Model,AUC,Threshold,Net_Benefit
Random Forest,0.8423973362930077,0.8300000000000001,-0.09679427326486156
Random Forest,0.8423973362930077,0.8400000000000001,-0.11375661375661386
Random Forest,0.8423973362930077,0.85,-0.13756613756613753
Random Forest,0.8423973362930077,0.86,-0.15797430083144368
Random Forest,0.8423973362930077,0.87,-0.18070818070818068
Random Forest,0.8423973362930077,0.88,-0.13403880070546736
Random Forest,0.8423973362930077,0.89,-0.15007215007215008
Random Forest,0.8423973362930077,0.9,-0.12169312169312171
Random Forest,0.8423973362930077,0.91,-0.0911228689006467
Random Forest,0.8423973362930077,0.92,-0.050264550264550296
Random Forest,0.8423973362930077,0.93,0.010582010582010581
Random Forest,0.8423973362930077,0.9400000000000001,0.005291005291005291
Random Forest,0.8423973362930077,0.9500000000000001,0.005291005291005291
Random Forest,0.8423973362930077,0.9600000000000001,0.005291005291005291
Random Forest,0.8423973362930077,0.97,0.0
Random Forest,0.8423973362930077,0.98,0.0
Voting Soft,0.8417036625971144,0.01,0.27331516220405105
Voting Soft,0.8417036625971144,0.02,0.2666018788467768
Voting Soft,0.8417036625971144,0.03,0.26160475645011727
Voting Soft,0.8417036625971144,0.04,0.2561728395061728
Voting Soft,0.8417036625971144,0.05,0.2531328320802005
Voting Soft,0.8417036625971144,0.060000000000000005,0.24935269616120678
Voting Soft,0.8417036625971144,0.06999999999999999,0.2404847243556921
Voting Soft,0.8417036625971144,0.08,0.2369450195537152
Voting Soft,0.8417036625971144,0.09,0.22745508459794173
Voting Soft,0.8417036625971144,0.09999999999999999,0.21810699588477367
Voting Soft,0.8417036625971144,0.11,0.21550442898757505
Voting Soft,0.8417036625971144,0.12,0.21476671476671477
Voting Soft,0.8417036625971144,0.13,0.21078878550142915
Voting Soft,0.8417036625971144,0.14,0.20684139288790448
Voting Soft,0.8417036625971144,0.15000000000000002,0.20136943666355428
Voting Soft,0.8417036625971144,0.16,0.18720080624842528
Voting Soft,0.8417036625971144,0.17,0.18473895582329314
Voting Soft,0.8417036625971144,0.18000000000000002,0.18479803845657503
Voting Soft,0.8417036625971144,0.19,0.1776079430400418
Voting Soft,0.8417036625971144,0.2,0.17592592592592593
Voting Soft,0.8417036625971144,0.21000000000000002,0.16917821981113118
Voting Soft,0.8417036625971144,0.22,0.16497083163749832
Voting Soft,0.8417036625971144,0.23,0.16223459080601937
Voting Soft,0.8417036625971144,0.24000000000000002,0.1595655806182122
Voting Soft,0.8417036625971144,0.25,0.15696649029982362
Voting Soft,0.8417036625971144,0.26,0.14571714571714572
Voting Soft,0.8417036625971144,0.27,0.14140755236645647
Voting Soft,0.8417036625971144,0.28,0.13374485596707816
Voting Soft,0.8417036625971144,0.29000000000000004,0.133616513898204
Voting Soft,0.8417036625971144,0.3,0.13151927437641722
Voting Soft,0.8417036625971144,0.31,0.13189172609462463
Voting Soft,0.8417036625971144,0.32,0.1248054777466542
Voting Soft,0.8417036625971144,0.33,0.1257206033325436
Voting Soft,0.8417036625971144,0.34,0.12153278819945484
Voting Soft,0.8417036625971144,0.35000000000000003,0.11721611721611719
Voting Soft,0.8417036625971144,0.36000000000000004,0.11574074074074071
Voting Soft,0.8417036625971144,0.37,0.11749391114470478
Voting Soft,0.8417036625971144,0.38,0.11964499061273254
Voting Soft,0.8417036625971144,0.39,0.11544800069390232
Voting Soft,0.8417036625971144,0.4,0.11111111111111109
Voting Soft,0.8417036625971144,0.41000000000000003,0.10662720832212357
Voting Soft,0.8417036625971144,0.42000000000000004,0.10198868819558472
Voting Soft,0.8417036625971144,0.43,0.10117887310869768
Voting Soft,0.8417036625971144,0.44,0.0963718820861678
Voting Soft,0.8417036625971144,0.45,0.08609908609908609
Voting Soft,0.8417036625971144,0.46,0.08014893200078385
Voting Soft,0.8417036625971144,0.47000000000000003,0.07966457023060797
Voting Soft,0.8417036625971144,0.48000000000000004,0.08424908424908424
Voting Soft,0.8417036625971144,0.49,0.07905384375972611
Voting Soft,0.8417036625971144,0.5,0.07936507936507936
